Incident ID,Location,Date,Crime,Address,Longitude,Latitude
CSA20‐124,ON CAMPUS Urbana champaign,2017‐2018,STALKING,"1010 W University Ave, Urbana, IL 61801, USA",-88.2219593,40.1165658
UU2102721,"800 W SPRINGFIELD, URBANA",2/18/2021,WARRANT,"800 County Rd 1600 N, Urbana, IL 61801, USA",-88.2177533,40.1127905
UU2102626,"LINCOLN/UNIVERSITY, URBANA",2/16/2021,DOMESTIC DISPUTE,"1570 Baltimore Pike, Lincoln University, PA 19352, USA",-75.9282072,39.80706929999999
II2101607,ROGER ADAMS LABORATORY Urbana champaign,2/19/2021,VIOLATION ORDER PROTECTION,"600 S Mathews Ave Roger Adams Laboratory, Urbana, IL 61801, USA",-88.2247211,40.1074656
II2101604,ILLINI UNION Urbana champaign,2/19/2021,DISORDERLY CONDUCT‐ALL OTHER,"1401 W Green St, Urbana, IL 61801, USA",-88.2272225,40.1092101
CC2104243,"616 E GREEN ST, CHAMPAIGN",2/18/2021,CRIMINAL DAMAGE,"616 E Green St, Champaign, IL 61820, USA",-88.2296109,40.1105931
IF2100087,"303 E JOHN ST, CHAMPAIGN",2/18/2021,LIQUOR‐UNDERAGE,"303 E John St, Champaign, IL 61820, USA",-88.23505060000001,40.1087155
IF2100084,HOPKINS RESIDENCE HALL Urbana champaign,2/17/2021,LIQUOR‐UNDERAGE,"1208 S 1st St, Champaign, IL 61820, USA",-88.23777919999999,40.102442
CC2104041,"112 E GREEN ST, CHAMPAIGN",2/16/2021,THEFT,"112 E Green, 112 E Green St, Champaign, IL 61820, USA",-88.23748499999999,40.1104327
CC2103977,"59 E GREEN ST, CHAMPAIGN",2/16/2021,THEFT,"59 E Green St, Champaign, IL 61820, USA",-88.2390064,40.1098957
UU2102426,"202 S LINCOLN AVE, URBANA",2/13/2021,DOMESTIC BATTERY,"202 S Lincoln Ave, Urbana, IL 61801, USA",-88.2189956,40.111191
UU2102419,"GEORGE HUFF/RACE, URBANA",2/13/2021,AGGRAVATED BATTERY,"George Huff & Race (SW Corner), Urbana, IL 61801, USA",-88.20975,40.0908933
UU2102347,"904 S LINCOLN AVE, URBANA",2/12/2021,HARASSMENT,"904 S Lincoln Ave, Urbana, IL 61801, USA",-88.2186912,40.1051854
II2101527,WESTON HALL BIKE RACK Urbana champaign,2/15/2021,CRIMINAL DAMAGE TO PROPERTY,"204 E Peabody Dr, Champaign, IL 61820, USA",-88.2352789,40.1031179
IF2100078,NCSA Urbana champaign,2/15/2021,DISORDERLY CONDUCT,"1205 W Clark St, Urbana, IL 61801, USA",-88.2248604,40.1149215
CC2103806,"112 E GREEN ST, CHAMPAIGN",2/14/2021,DOMESTIC BATTERY,"112 E Green, 112 E Green St, Champaign, IL 61820, USA",-88.23748499999999,40.1104327
CC2103709,"75 E. ARMORY AVE, CHAMPAIGN",2/13/2021,HARASSMENT,"75 E Armory Ave, Champaign, IL 61820, USA",-88.23889229999999,40.1049731
CC2103526,"112 E GREEN ST, CHAMPAIGN",2/12/2021,DOMESTIC BATTERY,"112 E Green, 112 E Green St, Champaign, IL 61820, USA",-88.23748499999999,40.1104327
II2101502,PARKING LOT F‐23 Urbana champaign,2/6/2021,CRIMINAL DAMAGE TO PROPERTY,"1201 W University Ave, Urbana, IL 61801, USA",-88.2248908,40.1158597
II2101475,PARKING LOT B‐21 Urbana champaign,2/12/2021,BATTERY‐DOMESTIC,"611 W Park St, Urbana, IL 61801, USA",-88.2139368,40.1170747
II2101470,ILLINI UNION BOOKSTORE Urbana champaign,2/12/2021,THEFT $500 AND UNDER,"809 S Wright St, Champaign, IL 61820, USA",-88.2292406,40.1083275
IF2100074,ILLINOIS STREET RESIDENCE HALL Urbana champaign,2/12/2021,LIQUOR‐UNDERAGE,"1010 W Illinois St, Urbana, IL 61801, USA",-88.22173529999999,40.1101128
CSA21‐008,UNKNOWN LOCATION Urbana champaign,2021,STALKING,"Champaign, IL, USA",-88.2271615,40.1019523
CSA21‐007,UNKNOWN LOCATION Urbana champaign,2020,RAPE,"Champaign, IL, USA",-88.2271615,40.1019523
CC2103416,"211 E GREEN ST, CHAMPAIGN",2/11/2021,DECEPTIVE PRACTICES,"211 E Green St, Champaign, IL 61820, USA",-88.2356592,40.1100049
UU2102195,"803 W GREEN ST, URBANA",2/9/2021,SEXUAL ASSAULT,"803 W Green St, Urbana, IL 61801, USA",-88.2181511,40.1103771
UU2102177,"804 W MAIN ST, URBANA",2/9/2021,DECEPTIVE PRACTICES,"804 W Main St, Urbana, IL 61801, USA",-88.21783599999999,40.114783
UU2102157,"204 HARVEY, URBANA",2/9/2021,DOMESTIC BATTERY,"204 N Harvey St, Urbana, IL 61801, USA",-88.2221158,40.113799
CC2103283,"302 E JOHN ST, CHAMPAIGN",2/9/2021,THEFT OF MV PARTS,"Presiedential Towers/University Inn, 302 E John St, Champaign, IL 61820, USA",-88.2348478,40.1093134
CC2103229,"505 S FIRST ST, CHAMPAIGN",2/9/2021,CRIMINAL DAMAGE,"505 S 1st St, Champaign, IL 61820, USA",-88.2389678,40.1118896
II2101436,KLEIN AVE / GROVE AVE Urbana champaign,2/10/2021,UNLAWFUL USE OF A BUILDING,"1806 S Cottage Grove Ave #115, Urbana, IL 61801, USA",-88.1942789,40.0957454
II2101436,KLEIN AVE / GROVE AVE Urbana champaign,2/10/2021,DEL/MANUF CANNABIS OVER 30 G ‐FEL,"1806 S Cottage Grove Ave #115, Urbana, IL 61801, USA",-88.1942789,40.0957454
II2101436,KLEIN AVE / GROVE AVE Urbana champaign,2/10/2021,UNLAWFUL POSS/USE WEAPON BY FELON,"1806 S Cottage Grove Ave #115, Urbana, IL 61801, USA",-88.1942789,40.0957454
II2101436,KLEIN AVE / GROVE AVE Urbana champaign,2/10/2021,UNLAWFUL POSS FIREARM & AMMUNITION,"1806 S Cottage Grove Ave #115, Urbana, IL 61801, USA",-88.1942789,40.0957454
II2101429,DAVENPORT HALL Urbana champaign,2/9/2021,BURGLARY,"607 S Mathews Ave, Urbana, IL 61801, USA",-88.2261789,40.1073129
II2101427,UNDERGRADUATE LIBRARY Urbana champaign,2/9/2021,HARASSMENT BY ELECTRONIC COMMUNICAT,"1402 W Gregory Dr, Urbana, IL 61801, USA",-88.2269105,40.1047076
II2101424,WASSAJA RESIDENCE HALL Urbana champaign,2/8/2021,COMPUTER FRAUD,"1202 S 1st St, Champaign, IL 61820, USA",-88.2381795,40.1037194
CC2103173,"302 E JOHN ST, CHAMPAIGN",2/8/2021,MOTOR VEHICLE THEFT,"Presiedential Towers/University Inn, 302 E John St, Champaign, IL 61820, USA",-88.2348478,40.1093134
00411‐2021,NEWMAN HALL Urbana champaign,2/5/2021,STALKING,"604 E Armory Ave, Champaign, IL 61820, USA",-88.2298675,40.1061093
00402‐2021,WASSAJA RESIDENCE HALL Urbana champaign,2/7/2021,LIQUOR‐ILLEGAL POSS. BY MINOR,"1202 S 1st St, Champaign, IL 61820, USA",-88.2381795,40.1037194
00372‐2021,WASSAJA RESIDENCE HALL Urbana champaign,2/4/2021,LIQUOR‐ILLEGAL POSS. BY MINOR,"1202 S 1st St, Champaign, IL 61820, USA",-88.2381795,40.1037194
00347‐2021,TAFT RESIDENCE HALL Urbana champaign,2/4/2021,LIQUOR‐ILLEGAL POSS. BY MINOR,"1215 S 4th St, Champaign, IL 61820, USA",-88.23365539999999,40.1017884
II2101408,2100 blk of ORCHARD ST S Urbana champaign,2/8/2021,BATTERY‐DOMESTIC,"2100 Orchard Dr, Urbana, IL 61801, USA",-88.21089769999999,40.0908283
CC2103049,"508 E UNIVERSITY AVE, CHAMPAIGN",2/7/2021,DOMESTIC BATTERY,"508 E University Ave, Champaign, IL 61820, USA",-88.23105199999999,40.11657599999999
CC2103001,"611 E DANIEL ST, CHAMPAIGN",2/6/2021,BURGLARY,"611 E Daniel St, Champaign, IL 61820, USA",-88.22934939999999,40.1076759
CC2102876,"708 S SIXTH ST, CHAMPAIGN",2/5/2021,DOMESTIC BATTERY,"708 S 6th St, Champaign, IL 61820, USA",-88.23011319999999,40.1095997
